"name","Population","Parent","Frequency"
"A5 Well_017.fcs","FoxP3+","lymphocytes",46.5626700526029
"B5 Well_018.fcs","FoxP3+","lymphocytes",44.8055802908875
"C5 Well_019.fcs","FoxP3+","lymphocytes",45.5036248650316
"D5 Well_020.fcs","FoxP3+","lymphocytes",41.9429901105294
