"name","Population","Parent","Frequency"
"A2 Well_005.fcs","FoxP3+","lymphocytes",42.8735852676002
"B2 Well_006.fcs","FoxP3+","lymphocytes",41.0374029640085
"C2 Well_007.fcs","FoxP3+","lymphocytes",41.685393258427
"D2 Well_008.fcs","FoxP3+","lymphocytes",47.9935143899473
